industry,median_asking_price,median_sold_price,median_sde,price_to_sde_multiple,median_revenue,price_to_revenue_multiple,cashflow_margin_pct,listings_count,days_on_market,median_sba_loan,sba_default_rate_pct
Banking And Loan Businesses,2300000.00,2001000.00,1020078.00,1.96,2789268.00,0.72,0.37,3,178,213670.00,0.000
Truck Stops,5130000.00,4514400.00,872883.00,5.17,7023824.00,0.64,0.12,2,222,,
Travel Agencies,5324950.00,4952204.00,621905.00,7.96,2754287.00,1.8,0.23,3,264,165424.00,0.000
Funeral Homes,2550018.00,2269516.00,582816.00,3.89,1394518.00,1.63,0.42,7,354,1044644.00,0.000
Car Dealerships,1900000.00,2052000.00,540000.00,3.8,4803470.00,0.43,0.11,30,244,866429.00,0.047
Energy And Petroleum Production Businesses,1400000.00,1400000.00,500000.00,2.8,2500000.00,0.56,0.20,4,251,1087995.00,0.048
Storage Facilities And Warehouses,1700000.00,1598000.00,477684.00,3.35,2342000.00,0.68,0.20,21,170,871200.00,0.000
Electronic And Electrical Equipment Manufacturers,1375000.00,1320000.00,448390.00,2.94,1605158.00,0.82,0.28,17,259,713660.00,0.009
Electrical And Mechanical Contracting Businesses,1290000.00,1199700.00,420206.00,2.86,1686445.00,0.71,0.25,46,246,379362.00,0.018
Metal Product Manufacturers,1194637.00,1146852.00,414977.00,2.76,1532501.00,0.75,0.27,51,259,781561.00,0.010
Chemical And Related Product Manufacturers,1640095.00,1623694.00,376948.00,4.31,1112352.00,1.46,0.34,6,90,771622.00,0.000
Heavy Construction Businesses,700000.00,637000.00,348336.00,1.83,1069996.00,0.6,0.33,37,204,413554.00,0.003
Catering Companies,795000.00,699600.00,346402.00,2.02,2084900.00,0.34,0.17,16,169,618710.00,0.022
Other Transportation And Storage Businesses,950000.00,940500.00,340000.00,2.77,1566484.00,0.6,0.22,19,146,467937.00,0.013
Other Financial Services Businesses,1400000.00,1274000.00,331001.00,3.85,1200000.00,1.06,0.28,15,176,649449.00,0.036
Lumber And Wood Products Manufacturers,1250000.00,1162500.00,328757.00,3.54,1956056.00,0.59,0.17,18,247,749091.00,0.017
Staffing Agencies,800000.00,744000.00,326154.00,2.28,1312257.00,0.57,0.25,22,206,469783.00,0.031
Architecture And Engineering Firms,985000.00,925900.00,320000.00,2.89,1600000.00,0.58,0.20,20,281,426848.00,0.004
Trucking Companies,980000.00,911400.00,319775.00,2.85,1380023.00,0.66,0.23,64,166,206712.00,0.035
Concrete Businesses,700000.00,637000.00,318680.00,2,1017139.00,0.63,0.31,17,249,422481.00,0.021
Security Businesses,924500.00,832050.00,317384.00,2.62,1213504.00,0.69,0.26,10,169,474757.00,0.000
Other Online And Technology Businesses,825000.00,759000.00,316864.00,2.4,933392.00,0.81,0.34,22,193,438758.00,0.053
Furniture And Fitures Manufacturers,599900.00,575904.00,313586.00,1.84,1186778.00,0.49,0.26,16,245,692635.00,0.013
Greenhouses,599000.00,545090.00,312000.00,1.75,1050000.00,0.52,0.30,8,189,,
Industrial And Commercial Machinery Manufacturers,1475000.00,1563500.00,304799.00,5.13,1400287.00,1.12,0.22,15,186,798886.00,0.017
Medical Billing Businesses,1900000.00,1881000.00,300000.00,6.27,1082000.00,1.74,0.28,9,175,632297.00,0.000
Other Building And Construction Businesses,749000.00,704060.00,295109.00,2.39,1428426.00,0.49,0.21,259,204,338505.00,0.012
Other Manufacturing Businesses,960000.00,883200.00,284000.00,3.11,1480000.00,0.6,0.19,71,198,625370.00,0.018
Hvac Businesses,790000.00,742600.00,281000.00,2.64,1476522.00,0.5,0.19,110,188,475760.00,0.007
Bowling Alleys,999000.00,899100.00,275000.00,3.27,2400000.00,0.37,0.12,2,292,573993.00,0.000
Home Health Care Businesses,760000.00,699200.00,275000.00,2.54,1400000.00,0.5,0.20,107,195,473207.00,0.024
Towing Companies,754500.00,754500.00,274000.00,2.75,939275.00,0.8,0.29,12,252,523721.00,0.009
"Auto, Boat And Aircraft Manufacturers",575000.00,557750.00,273912.00,2.04,894562.00,0.62,0.31,14,187,713660.00,0.009
Production Companies,800000.00,848000.00,256268.00,3.31,949142.00,0.89,0.27,7,188,385747.00,0.025
Building Material And Hardware Stores,624500.00,674460.00,255000.00,2.64,1668070.00,0.4,0.15,33,246,722217.00,0.011
Durable Goods Wholesalers And Distributors,685000.00,637050.00,255000.00,2.5,1310525.00,0.49,0.20,51,232,730466.00,0.020
"Glass, Stone And Concrete Manufacturers",600000.00,564000.00,245783.00,2.29,1078146.00,0.52,0.23,8,190,741771.00,0.011
Plumbing Businesses,574000.00,545300.00,244625.00,2.23,1099844.00,0.5,0.22,45,178,476736.00,0.009
Limo And Passenger Transportation Businesses,651000.00,592410.00,240204.00,2.47,879797.00,0.67,0.27,19,111,214519.00,0.016
Legal Services And Law Firms,250000.00,215000.00,238996.00,0.9,472518.00,0.46,0.51,4,185,371240.00,0.017
Software And App Companies,599999.00,515999.00,235857.00,2.19,359312.00,1.44,0.66,17,171,548144.00,0.000
Machine Shops And Tool Manufacturers,867000.00,771630.00,231808.00,3.33,1349271.00,0.57,0.17,49,254,645739.00,0.000
Marinas And Fishing Businesses,487000.00,472390.00,231304.00,2.04,1027743.00,0.46,0.23,11,284,1085190.00,0.000
Rubber And Plastic Products Manufacturers,880000.00,756800.00,230000.00,3.29,796041.00,0.95,0.29,8,231,964409.00,0.000
Furniture And Furnishings Stores,495000.00,504900.00,225000.00,2.24,1019705.00,0.5,0.22,48,242,514914.00,0.009
Motels,1525000.00,1326750.00,225000.00,5.9,448500.00,2.96,0.50,12,262,2570191.00,0.001
Other Automotive And Boat Businesses,525000.00,493500.00,220000.00,2.24,960000.00,0.51,0.23,33,229,1002181.00,0.000
Medical Device And Product Manufacturers,544500.00,473715.00,219404.00,2.16,1089705.00,0.43,0.20,8,189,498352.00,0.000
Marine Boat Services And Dealers,525000.00,509250.00,212989.00,2.39,1547254.00,0.33,0.14,27,232,1002309.00,0.000
Packaging Businesses,717500.00,703150.00,212898.00,3.3,845645.00,0.83,0.25,11,141,1435015.00,0.077
Accounting Businesses And Ta Practices,459500.00,441120.00,212149.00,2.08,400000.00,1.1,0.53,71,156,379693.00,0.009
All Businesses,645131.24,605357.01,211045.04,2.56,926285.10,0.67,0.27,9054,192,560004.00,0.015
Websites And Ecommerce Businesses,597000.00,579090.00,210571.00,2.75,756526.00,0.77,0.28,197,75,227988.00,0.022
Other Communication And Media Businesses,587500.00,517000.00,209986.00,2.46,625045.00,0.83,0.34,25,142,452330.00,0.022
Golf Courses And Service Businesses,949500.00,892530.00,206500.00,4.32,820000.00,1.09,0.25,10,184,894428.00,0.000
Medical Practices,389500.00,362235.00,206145.00,1.76,633929.00,0.57,0.33,93,223,624253.00,0.004
Car Washes,899500.00,818545.00,203600.00,4.02,630000.00,1.3,0.32,76,166,1533175.00,0.004
Other Health Care And Fitness Businesses,510000.00,479400.00,202475.00,2.37,809915.00,0.59,0.25,101,225,310225.00,0.011
Junk And Salvage Yards,995000.00,955200.00,200000.00,4.78,1200000.00,0.8,0.17,6,228,484900.00,0.000
Nondurable Goods Wholesalers And Distributors,487000.00,457780.00,198829.00,2.3,1243153.00,0.37,0.16,30,223,666228.00,0.018
Other Education And Children Businesses,511750.00,455458.00,192611.00,2.36,625393.00,0.73,0.31,33,162,427450.00,0.017
Insurance Agencies,550000.00,522500.00,186290.00,2.8,327000.00,1.6,0.57,55,190,427851.00,0.010
Schools,424750.00,492710.00,184994.00,2.66,435736.00,1.13,0.43,20,169,827263.00,0.000
Graphic And Web Design Businesses,465000.00,418500.00,184272.00,2.27,408246.00,1.03,0.45,16,94,369878.00,0.025
Gas Stations,795000.00,818850.00,180000.00,4.55,2161000.00,0.38,0.08,180,120,1585810.00,0.000
Other Service Businesses,450000.00,427500.00,180000.00,2.38,664000.00,0.64,0.27,341,198,382062.00,0.025
Breweries,637500.00,548250.00,177606.00,3.09,1259000.00,0.44,0.14,12,224,616795.00,0.000
It And Software Service Businesses,595000.00,559300.00,177034.00,3.16,654300.00,0.85,0.27,33,141,514312.00,0.019
Waste Management And Recycling Businesses,625000.00,587500.00,174909.00,3.36,450000.00,1.31,0.39,33,204,396817.00,0.023
Sign Manufacturers And Businesses,437500.00,380625.00,174023.00,2.19,543752.00,0.7,0.32,40,207,431005.00,0.013
Day Care And Child Care Centers,699000.00,629100.00,172000.00,3.66,657086.00,0.96,0.26,95,250,865453.00,0.005
Grocery Stores And Supermarkets,304500.00,277095.00,170890.00,1.62,1036191.00,0.27,0.17,63,197,650916.00,0.014
Food And Related Product Manufacturers,354400.00,350856.00,170815.00,2.05,607495.00,0.58,0.28,30,152,546489.00,0.008
Landscaping And Yard Service Businesses,405000.00,376650.00,169866.00,2.22,655141.00,0.57,0.26,173,176,303971.00,0.009
Other Entertainment And Recreation Businesses,400000.00,356000.00,167164.00,2.13,352500.00,1.01,0.47,82,186,576628.00,0.019
Locksmith Businesses,300000.00,285000.00,166567.00,1.71,724199.00,0.39,0.23,12,107,584284.00,0.000
Moving And Shipping Businesses,399000.00,375060.00,166000.00,2.26,628000.00,0.6,0.26,52,201,486482.00,0.039
Vineyards And Wineries,910000.00,919100.00,164570.00,5.58,432823.00,2.12,0.38,4,450,656951.00,0.000
Other Retail Businesses,395000.00,402900.00,162730.00,2.48,739375.00,0.54,0.22,233,169,413198.00,0.020
Nightclubs And Theaters,417500.00,425850.00,162500.00,2.62,807500.00,0.53,0.20,10,148,496991.00,0.006
Other Wholesalers And Distributors,399000.00,371070.00,150470.00,2.47,700000.00,0.53,0.22,71,219,447881.00,0.036
Auto Repair And Service Shops,400000.00,388000.00,150000.00,2.59,740077.00,0.52,0.20,258,196,510443.00,0.012
Property Management Businesses,397000.00,373180.00,150000.00,2.49,503396.00,0.74,0.30,57,145,356859.00,0.023
Equipment Rental And Dealers,224000.00,206080.00,149811.00,1.38,532856.00,0.39,0.28,9,198,553471.00,0.008
Pharmacies,314900.00,273963.00,149325.00,1.83,1184216.00,0.23,0.13,35,194,649428.00,0.005
"Bars, Pubs And Taverns",378000.00,336420.00,148777.00,2.26,780000.00,0.43,0.19,213,193,466322.00,0.007
Preschools,450000.00,409500.00,148500.00,2.76,514582.00,0.8,0.29,26,192,865453.00,0.005
Dog Daycare And Boarding Businesses,275000.00,264000.00,148000.00,1.78,525803.00,0.5,0.28,48,160,519812.00,0.010
Nursery And Garden Centers,346000.00,415200.00,146967.00,2.83,813816.00,0.51,0.18,10,195,485650.00,0.014
Health Food And Nutrition Businesses,350000.00,325500.00,145459.00,2.24,978000.00,0.33,0.15,17,106,378492.00,0.032
Cleaning Businesses,299500.00,278535.00,145000.00,1.92,509500.00,0.55,0.29,166,181,344954.00,0.021
Pet Stores And Supply Businesses,340000.00,323000.00,140787.00,2.29,845709.00,0.38,0.17,29,201,560914.00,0.009
All Non-Classifiable Establishments,349000.00,317590.00,137000.00,2.32,768333.00,0.41,0.18,21,202,167176.00,0.075
Flower Shops,262500.00,236250.00,135734.00,1.74,600817.00,0.39,0.23,58,194,400793.00,0.028
Other Beauty And Personal Care Businesses,249000.00,234060.00,135474.00,1.73,515088.00,0.45,0.26,32,154,303714.00,0.024
Paper Manufacturers And Printing Businesses,399000.00,355110.00,134473.00,2.64,1000000.00,0.36,0.14,22,174,475588.00,0.000
Assisted Living And Nursing Homes,585000.00,520650.00,133991.00,3.89,520452.00,1,0.26,54,204,981802.00,0.002
Donut Shops,240000.00,199200.00,132000.00,1.51,480000.00,0.42,0.28,22,128,379851.00,0.011
Tree Farm And Orchards,225777.00,228035.00,130777.00,1.74,711777.00,0.32,0.18,6,287,805694.00,0.000
Massage Businesses,195000.00,181350.00,130000.00,1.4,596000.00,0.3,0.22,13,188,325341.00,0.024
Dry Cleaners,264950.00,246404.00,130000.00,1.9,330420.00,0.75,0.39,100,187,567868.00,0.000
Liquor Stores,419500.00,406915.00,127993.00,3.18,955847.00,0.43,0.13,222,154,864505.00,0.002
Restaurants,249000.00,229080.00,124462.00,1.84,671000.00,0.34,0.19,1737,169,529312.00,0.015
Clothing And Fabric Manufacturers,290000.00,252300.00,120445.00,2.09,602580.00,0.42,0.20,16,187,526795.00,0.000
Casinos,250000.00,140000.00,120000.00,1.17,400000.00,0.35,0.30,2,27,,
Clothing And Accessory Stores,249000.00,241530.00,114458.00,2.11,533776.00,0.45,0.21,72,172,266939.00,0.034
Convenience Stores,210000.00,195300.00,114080.00,1.71,650500.00,0.3,0.18,165,192,454809.00,0.000
Pest Control Businesses,216500.00,203510.00,109754.00,1.85,221391.00,0.92,0.50,20,86,194333.00,0.000
Smoke Shops,175000.00,162750.00,107500.00,1.51,435000.00,0.37,0.25,70,95,383431.00,0.000
Bakeries,229000.00,215260.00,106102.00,2.03,543000.00,0.4,0.20,107,189,392418.00,0.006
Other Agriculture Businesses,249000.00,249000.00,105000.00,2.37,623132.00,0.4,0.17,11,207,687277.00,0.002
Routes,125000.00,122500.00,104890.00,1.17,306900.00,0.4,0.34,650,119,471646.00,0.049
Dental Practices,272000.00,242080.00,104500.00,2.32,366375.00,0.66,0.29,12,264,930028.00,0.004
Other Pet Service Businesses,209862.00,201468.00,100000.00,2.01,285000.00,0.71,0.35,24,141,1152389.00,0.000
Art Galleries,129338.00,129338.00,91563.00,1.41,333024.00,0.39,0.28,7,160,346908.00,0.083
Tanning Salons,175000.00,161000.00,91058.00,1.77,302000.00,0.53,0.30,6,59,303714.00,0.024
Laundromats And Coin Laundry Businesses,260000.00,241800.00,90000.00,2.69,239326.00,1.01,0.38,192,145,877647.00,0.008
Cell Phone And Computer Repair And Service Businesses,165000.00,292050.00,88000.00,3.32,359000.00,0.81,0.25,14,178,321756.00,0.000
Nail Salons,160000.00,139200.00,87654.00,1.59,360000.00,0.39,0.24,33,169,265662.00,0.008
Gyms And Fitness Centers,226492.00,197048.00,86127.00,2.29,347348.00,0.57,0.25,88,161,383511.00,0.009
Spas,169450.00,159283.00,85162.00,1.87,317429.00,0.5,0.27,38,195,196106.00,0.000
Coffee Shops And Cafes,170000.00,156400.00,85000.00,1.84,420000.00,0.37,0.20,167,155,379851.00,0.011
Jewelry Stores,137000.00,113710.00,82586.00,1.38,271244.00,0.42,0.30,9,205,220280.00,0.048
Magazines And Newspapers,300000.00,252000.00,80000.00,3.15,507500.00,0.5,0.16,5,332,326200.00,0.000
Ice Cream And Frozen Yogurt Shops,195000.00,175500.00,79546.00,2.21,378500.00,0.46,0.21,141,194,379851.00,0.011
Commercial Laundry Businesses,192000.00,176640.00,76617.00,2.31,199100.00,0.89,0.39,11,112,1443460.00,0.000
Other Travel Businesses,80000.00,60000.00,75016.00,0.8,125677.00,0.48,0.60,5,110,1081105.00,0.000
Bike Shops,169000.00,192660.00,75000.00,2.57,575000.00,0.34,0.13,5,106,327111.00,0.016
"Dance, Pilates And Yoga Studios",150000.00,121500.00,74529.00,1.63,188645.00,0.64,0.40,16,101,383511.00,0.009
Food Trucks,75000.00,70500.00,73868.00,0.95,289000.00,0.24,0.26,4,129,91603.00,0.047
Juice Bars,174999.00,146999.00,73776.00,1.99,466229.00,0.32,0.16,32,152,375664.00,0.011
Pet Grooming Businesses,129500.00,125615.00,72274.00,1.74,212500.00,0.59,0.34,50,180,519812.00,0.010
Hair Salons And Barber Shops,99000.00,93060.00,63000.00,1.48,252620.00,0.37,0.25,187,175,206843.00,0.022
Check Cashing Businesses,139950.00,123156.00,62300.00,1.98,138000.00,0.89,0.45,2,243,125000.00,0.000
Vending Machine Businesses,82000.00,78720.00,40000.00,1.97,52000.00,1.51,0.77,33,79,178639.00,0.000
Dollar Stores,50000.00,50000.00,33397.00,1.5,165057.00,0.3,0.20,3,316,231513.00,0.063
Banquet Halls,,,,,,,,5,85,985899.00,0.000
Pawn Shops,,,,,,,,2,252,191704.00,0.000
Hotels,,,,,,,,10,209,2444368.00,0.002
Bed And Breakfasts,,,,,,,,12,240,901934.00,0.021
Real Estate Businesses,,,,,,,,1,676,603013.00,0.019
Mobile Home Parks,,,,,,,,2,147,751174.00,0.000
Campgrounds And Rv Parks,,,,,,,,9,173,1178115.00,0.000
